SKU,Titel,aktueller_Preis,Preisquelle,berechneter_Mindestpreis,Aktion,wasBelowBreakEven
stele-70,Edelstahl Waschschüssel Abtropfsieb Küchenhelfer Kochzubehör,25.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-71,Grillmatte antihaft; wiederverwendbar; hitzebeständig; Backm,27.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-77,Grillmatten Schwarz Quadratisch Wiederverwendbar Camping Out,21.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-83,Backpapier Rechteckig 300 Blatt Antihaft; Lebensmittelqualit,29.95,DB-sellPrice,22.95,nichts tun,nein
stele-87,10 x Staubsaugerbeutel für Dreame L10s Ultra L10s Pro X50 X4,25.95,DB-sellPrice,17.95,nichts tun,nein
stele-92,MAYJAM Ätherische Öle für Diffuser & Luftbefeuchter Lavendel,33.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-95,EUQEE Duftöl Set 6x10ml Kokos Ananas Bubble Gum Meer...,16.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-96,Heißluftfritteuse Backpapier Clips Antihaft; Hitzebeständig;,25.95,DB-sellPrice,18.95,nichts tun,nein
stele-97,PHATOIL 100ml Ätherisches Öl Set: Eukalyptus; Vanille; Laven,20.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-107,Fersenschutz Gel Polster Blasenpolster Haftend Schuh Einlage,14.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-110,Achsel Schweißpads Fußpads Deodorant Unsichtbar Tragbar Atmu,19.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-119,Einweg Frischhaltehauben; Lebensmittelabdeckung,14.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-120,Frischhaltehauben für Lebensmittel; Bunt; Elastisch; Staubdi,43.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-121,Automatische Bewässerung Tropfbewässerung für Pflanzen Garte,16.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-122,Blumen Topf Selbstbewässerung Tropfer Pflanzenbewässerung Ga,19.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-123,Alufolie Frischhaltehaube Einweg elastisch Lebensmittel Obst,35.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-127,Lebensmittelhaube Frischhalteplatte Mehrweg Abdeckungen Bunt,25.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-129,Wäschebeutel Netzwaschbeutel Wiederverwendbar mit Reißversch,20.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-131,Neue Katzenklo Schaufel mit Griff; süß & praktisch – Top Qua,14.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-132,Katzenstreuschaufel Set Groß & Klein für Katzenklo Reinigen ,21.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-137,XXL Vakuumbeutel ohne Pumpe; platzsparend; praktische Aufbew,10.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-138,Müllbeutel mit Henkel; Duft; Extra Stark; Auslaufsicher; Rei,20.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-139,PHATOIL 15 Aromatherapie ätherische Öle Set für Diffuser Luf,26.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-140,Ninja Airfryer Zubehör Backblech für AF400 AF500 Heißluftfri,25.95,DB-sellPrice,18.95,nichts tun,nein
stele-141,Achselpads Schweißpads Sommer Unisex Antitranspirant Deodora,23.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-142,Heißluftfritteuse Einweg Papier Backpapier rund antihaft"",19.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-143,Heißluftfritteuse Einsätze aus Papier; Fettabsorbierend; Ant,15.95,DB-sellPrice,13.95,nichts tun,nein
stele-145,PHATOIL 15ml Ätherische Öle Set für Diffuser & Luftbefeuchte,23.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-147,Alufolie Frischhaltefolie Lebensmittelabdeckung Einweg zum A,30.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-148,Große Katzentoilette Schaufel Haustierreinigung Werkzeug Tof,15.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-149,Malbuch Erwachsene 32 Seiten Blumen Mandala Design Stressabb,17.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-150,8 Rollen biologisch abbaubare Hundekotbeutel; auslaufsicher;,17.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-151,150x Müllbeutel Hundekotbeutel; Dick; Bequem; Polypropylen; ,16.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-152,Kühlschrank Kräuterfrische Behälter Gemüseaufbewahrung Frisc,29.95,DB-sellPrice,–,n/a (Varianten, nie automatisch),
stele-155,Kinder Zeichenbuch Malbuch Kindergarten 3-14 Jahre Kreativit,–,keiner,–,n/a (Varianten, nie automatisch),
